"ObjectName","ObjectType","ObjectGuid","PrincipalName","PrincipalType","ActiveDirectoryRights","ACEType","AccessControlType","IsInherited"
"Schema Admins@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Schema Admins@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Schema Admins@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Schema Admins@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Schema Admins@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Enterprise Admins@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Enterprise Admins@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Enterprise Admins@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Enterprise Admins@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Enterprise Admins@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Domain Admins@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Domain Admins@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Domain Admins@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Domain Admins@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Domain Admins@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Domain Users@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Domain Users@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Domain Users@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Domain Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Domain Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Domain Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Domain Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Domain Users@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Domain Users@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Domain Users@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Domain Guests@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Domain Guests@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Domain Guests@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Domain Guests@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Domain Guests@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Domain Guests@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Domain Guests@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Domain Guests@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Domain Guests@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Domain Guests@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Group Policy Creator Owners@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Read-only Domain Controllers@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Read-only Domain Controllers@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Read-only Domain Controllers@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Read-only Domain Controllers@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Read-only Domain Controllers@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Enterprise Read-only Domain Controllers@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Cloneable Domain Controllers@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Protected Users@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Protected Users@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Protected Users@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Protected Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Protected Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Protected Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Protected Users@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Protected Users@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Protected Users@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Protected Users@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"DnsUpdateProxy@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","Owner","","AccessAllowed","False"
"Organization Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Organization Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Organization Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","False"
"Organization Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Organization Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Public Folder Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Public Folder Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Public Folder Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Public Folder Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Public Folder Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Public Folder Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Recipient Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Recipient Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Recipient Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Recipient Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Recipient Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"View-Only Organization Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"UM Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"UM Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"UM Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"UM Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"UM Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Help Desk@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Help Desk@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Help Desk@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Help Desk@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Help Desk@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Records Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Records Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Records Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Records Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Records Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Discovery Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Discovery Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Discovery Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Discovery Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","WriteDacl","","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Enterprise Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Administrators@HTB.LOCAL","GROUP","WriteDacl WriteOwner","","AccessAllowed","True"
"Discovery Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","Owner","","AccessAllowed","False"
"Server Management@HTB.LOCAL","GROUP","","Domain Admins@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Server Management@HTB.LOCAL","GROUP","","Account Operators@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","False"
"Server Management@HTB.LOCAL","GROUP","","Local System@HTB.LOCAL","USER","GenericAll","","AccessAllowed","False"
"Server Management@HTB.LOCAL","GROUP","","Exchange Trusted Subsystem@HTB.LOCAL","GROUP","WriteProperty","Member","AccessAllowed","True"
"Server Management@HTB.LOCAL","GROUP","","Organization Management@HTB.LOCAL","GROUP","GenericAll","","AccessAllowed","True"
"Server Management@HTB.LOCAL","GROUP","","Exchange Windows Permissions@HTB.LOCAL","GROUP","ExtendedRight","User-Force-Change-Password","AccessAllowed","True"
